Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,39,The Exorcist 2000 Director's Cut," $112,053,066 "," $39,671,011 ",35.40%," $72,382,055 ",64.60%,USA," $198,894,192 "," $70,416,045 "," $128,478,148 "
2000,40,Mission to Mars," $110,983,407 "," $60,883,407 ",54.90%," $50,100,000 ",45.10%,USA," $196,995,547 "," $108,068,047 "," $88,927,500 "
2000,41,The Kid," $110,317,580 "," $69,691,949 ",63.20%," $40,625,631 ",36.80%,USA," $195,813,705 "," $123,703,209 "," $72,110,495 "
2000,42,Billy Elliot," $109,280,263 "," $21,995,263 ",20.10%," $87,285,000 ",79.90%,USA," $193,972,467 "," $39,041,592 "," $154,930,875 "
2000,43,Shaft," $107,196,498 "," $70,334,258 ",65.60%," $36,862,240 ",34.40%,USA," $190,273,784 "," $124,843,308 "," $65,430,476 "
2000,44,The Whole Nine Yards," $106,371,651 "," $57,262,492 ",53.80%," $49,109,159 ",46.20%,USA," $188,809,681 "," $101,640,923 "," $87,168,757 "
2000,45,The Cell," $104,155,843 "," $61,334,059 ",58.90%," $42,821,784 ",41.10%,USA," $184,876,621 "," $108,867,955 "," $76,008,667 "
2000,46,Rugrats in Paris," $103,291,131 "," $76,507,756 ",74.10%," $26,783,375 ",25.90%,USA," $183,341,758 "," $135,801,267 "," $47,540,491 "
2000,47,Shanghai Noon," $99,274,467 "," $56,937,502 ",57.40%," $42,336,965 ",42.60%,USA," $176,212,179 "," $101,064,066 "," $75,148,113 "
2000,48,The Tigger Movie," $96,159,800 "," $45,554,533 ",47.40%," $50,605,267 ",52.60%,USA," $170,683,645 "," $80,859,296 "," $89,824,349 "
2000,49,The 6th Day," $96,085,477 "," $34,604,280 ",36%," $61,481,197 ",64%,USA," $170,551,722 "," $61,422,597 "," $109,129,125 "
2000,50,Romeo Must Die," $91,036,760 "," $55,973,336 ",61.50%," $35,063,424 ",38.50%,USA," $161,590,249 "," $99,352,671 "," $62,237,578 "
2000,51,Fantasia 2000," $90,874,570 "," $60,655,420 ",66.70%," $30,219,150 ",33.30%,USA," $161,302,362 "," $107,663,371 "," $53,638,991 "
2000,52,Autumn in New York," $90,726,668 "," $37,761,915 ",41.60%," $52,964,753 ",58.40%,USA," $161,039,836 "," $67,027,399 "," $94,012,437 "
2000,53,Bring It On," $90,449,929 "," $68,379,000 ",75.60%," $22,070,929 ",24.40%,USA," $160,548,624 "," $121,372,725 "," $39,175,899 "
2000,54,Bedazzled," $90,383,208 "," $37,886,980 ",41.90%," $52,496,228 ",58.10%,USA," $160,430,194 "," $67,249,390 "," $93,180,805 "
2000,55,Snatch," $83,557,872 "," $30,328,156 ",36.30%," $53,229,716 ",63.70%,USA," $148,315,223 "," $53,832,477 "," $94,482,746 "
2000,56,Men of Honor," $82,343,495 "," $48,818,921 ",59.30%," $33,524,574 ",40.70%,USA," $146,159,704 "," $86,653,585 "," $59,506,119 "
2000,57,Finding Forrester," $80,049,764 "," $51,804,714 ",64.70%," $28,245,050 ",35.30%,USA," $142,088,331 "," $91,953,367 "," $50,134,964 "
